,Review Description,Review Content,Date,Rating
35,['Tasty!'],"['We ordered an eggplant dish and it was really delicious. We ordered a few other dishes which were lovely to eat. But the fried pork fish recommended by the staff was disappointing. It was overcooked and even hard to chew. Overall, it was a lovely...More']",['Reviewed 22 December 2017'],['4.0']
36,"['large choice, potential, but likely too cheap']","['on the paper, it looks pretty interesting. The menu is quite large, covering many aspects of Chinese cuisine, and skewers. Price wise, it is on the cheap side particularly compared to the places around. now, being particularly biased towards spicy food, i went once and...More']",['Reviewed 13 December 2017'],['2.0']
37,['Large portions and popular with the locals.'],"['This place is so good I went here twice during my short stay in Singapore. You just know it will be good when it is always busy and rammed with locals. Nothing fancy here. Just good food, large portion sizes and reasonable prices. I ordered...More']",['Reviewed 30 November 2017'],['5.0']
38,['Very good local restaurant'],['Tellingly this place is full every night with locals as well as tourists unlike places next door. Really good local food - more meat than hawker market fare.'],['Reviewed 19 November 2017'],['5.0']
39,['Cheap and authentic'],"['Most of the comments here are helpful. We went and really enjoyed it. It was very busy so we sat outside. Service was fast and friendly. Food taste was close to real Sichuan food. Although it was cheap bite, our dishes were well cooked and...More']",['Reviewed 2 November 2017'],['4.5']
40,['Tasty and good value'],"['Authentic Chinese food with great local atmosphere. We went on a Sunday evening and the place was buzzing. Fast and friendly service. Minimum charge SGD.9 per head so not expensive. Everything we ate was fresh, delicious and served hot. Beer was cold!']",['Reviewed 3 October 2017'],['4.5']
41,['Great food and staff!'],['Food is excellent and reasonable price. Portions are large too. Very easy to order take away. Which is perfect after a long flight. Then go veg out in Hotel and relax!'],['Reviewed 23 September 2017'],['3.5']
42,['Cheap and good'],"['Have come for dinner and lunch at least 5 times. Each time the food is good and cheap. Portions are generous and the food is served very promptly. In fact, everything here is done fast and efficiently. The waitresses would find you a seat almost...More']",['Reviewed 9 September 2017'],['4.5']
43,['Extensive Szechuan menu with affordable prices.'],"[""They have a lot of dish options, so ordering can be difficult, as you don't know where to stop. Must try - various Barbq sticks, Onion pancake, Straw mushroom salad. They have a variety of Chinese beer as well, to wash down the spice. Both...More""]",['Reviewed 13 July 2017'],['4.0']
44,"[""Grab a quick tasty meal at affordable prices in Singapore's Chinatown.""]","['We went to Chinatown in Singapore and decided to stop here for a late lunch. There was a lineup, but we were seated after waiting about 10 minutes. The menu has lots of variety to choose from, including pics of the dishes. Everything we ordered...More']",['Reviewed 30 June 2017'],['4.5']
45,"[""It'd be my re-visit spot just to eat""]",['4 people and the total bill is only 60-70 SGD. My mom is a cook but she praise the cold dishes too (especially love the cold pork with chilli and cucumber).'],['Reviewed 19 May 2017'],['4.0']
46,['Great food & value for money'],"[""If you are after a great northern china meal , this place is hard to beat. Sure you are packed in , and it's loud , but we find that's not a problem because of the food is fantastic. The serves are huge for Singapore...More""]",['Reviewed 15 May 2017'],['4.5']
47,['Yes!'],"[""If you're after good, tasty quick, cheap food this is definitely one to head for... All dishes we ordered were excellent.""]",['Reviewed 26 April 2017'],['4.5']
48,"['Cheap, great food!']",['It is incredibly cheap and still very tasty! The portions are large and the service is also good. Very tasty vegetables and excellent rice! Here you get very good food at EVERY TIME. They always opened!'],['Reviewed 13 April 2017'],['4.0']
49,['I go there every time I go to SIN. And not only once.'],['I just love it and I love how successful they are which shows by their constant expansion. They deserve it. Originally just a one windows shop they now wrap around the corner of the street. We initially only stopped there because the smoke of their...More'],['Reviewed 17 February 2017'],['4.0']
50,['china food'],"['we went for supper,need to wait for table by standing outside.a lot of china style food with reasonable price,but their services is too bad! when we are still eating and our table still leave 3-4 dish , a waiter ask us for bill and try...More']",['Reviewed 20 January 2017'],['4.5']
51,"[""Don't think just eat""]","[""If you want late night grub in Chinatown where it's just fast, greasy, yet delicious eats, this is the place. My non-Chinese friends told me that this is their go-to place for meat skewers, delicious some-what spicy vegetables and interesting dishes that they find good...More""]",['Reviewed 1 January 2017'],['4.5']
52,['Cheap and easy eats'],['When in Singapore we visited the Chinatown area and were after a quick and easy meal in a location close to the MRT. After a stroll around we across this place and it was packed with locals and some visitors. After a table came free...More'],['Reviewed 5 December 2016'],['4.0']
53,['Great chinese restaurant with reasonable prices'],['We were staying in the hotel nearby I chose this restaurant to grab take-away based on how full it was compared to other places around. The food here is excellent with fresh ingredients and authentic taste. The prices here are very reasonable compared to the...More'],['Reviewed 22 November 2016'],['5.0']
54,['Amazing late night grub'],"['If you are after some amazing late night grub after hittin the bars this is you place. It is open late, it is loud, it is full of people, and it is delicious. Love it and visit every time I am in town.']",['Reviewed 13 October 2016'],['4.0']
55,['Excellent Chinese cuisine'],"[""We stopped for lunch at this restaurant because we saw it was full with Chinese diners, so it can't be bad, and we were certainly not disappointed . The place is simple tables and chairs no special decorations or haute decor. We ordered sweet and...More""]",['Reviewed 12 October 2016'],['4.0']
56,['Excellent!'],"[""We were walking around when we saw this packed place (of locals, no tourists, always a good sign) and wanted to give it a try. Best decision! I can't remember the names of the dishes, only thing I can say is they all were very...More""]",['Reviewed 11 August 2016'],['1.0']
57,['Excellent Chinese food'],['This was an lucky find as we just happened across it as we were looking for the heart of Chinatown. The staff appear to have limited English and the whole operation is orchestrated by the matriarch who stands at the back of the restaurant calling...More'],['Reviewed 6 August 2016'],['5.0']
58,['Great Cheap Chinese Eats - and Absolutely Delicious!'],"['In a crowded (always a good sign) restaurant you sit cheek by jowl with your neighbour and point to dishes in the menu with pictures. Portions are a good size - so one main course between two is fine, two would be a feast -...More']",['Reviewed 9 May 2016'],['5.0']
59,"[""I love this place! We nicknamed it 'Shouty Lady Restuarant'""]","[""Don't let looks deceive you. This restaurant is brightly light with strip lights and has plastic furniture. The restaurant is crowded and noisy with the hustle and bustle of diners. Some of the tables are outside, so you can watch the world go by. It...More""]",['Reviewed 4 May 2016'],['5.0']
60,"['excellent, and very good value']",['Hard to know what to choose from the huge menu (with pictures!). I chose 3 dishes and this was way more than I could eat; all that and a large beer came to $30. Best dish was a starter - tofu topped with preserved eggs'],['Reviewed 16 February 2016'],['4.0']
61,['Excellent Chinese food'],"[""One of the best Chinese food I've had so far. Large selection of dish. Excellent vegetables. Busy place, which is always a good sign!""]",['Reviewed 21 December 2015'],['5.0']
62,['Great Chinese food One step only from China Town'],['A real good local Chinese Restaurant. Very busy place by loca people. Everything was good. The sweet and sour chicken was excellent and the cat fish delicious.The book pictures help you to order what you really want to eat. No surprise ! Maybe one much...More'],['Reviewed 11 October 2015'],['5.0']
63,['Excellent food 200+on the Menu'],['We had a few dishes here for dinner quality and quantity were extremely sufficient for two.. the skewers are fantastic a must try from here'],['Reviewed 23 September 2015'],['5.0']
64,['Absolutely authentic'],"['I saw this place as we were walking past on our shopping experience, and the fact that it looked full of locals drew me back with my family for lunch. This was a truly Chinese cuisine experience that did not disappoint with a huge menu...More']",['Reviewed 5 October 2014'],['4.5']
65,['Eat Chinese with locals at good price'],['This restaurant may not have a very clever name but it was a real find for us on what was a short stay in Singapore. It also shows you can have great good in Singapore at a low price. It was by far one of...More'],['Reviewed 5 June 2014'],['4.5']
